track_id,track_name,spotify_url,lyrics,cover_image_url
4tCtwWceOPWzenK2HAIJSb,Work from Home (feat. Ty Dolla $ign),https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb,,https://i.scdn.co/image/ab67616d0000b273d03fa6f4e758282b7920b5c8
40rOKDgEB0PoedLUQELRFi,Hidden Agenda - New Mix,https://open.spotify.com/track/40rOKDgEB0PoedLUQELRFi,,https://i.scdn.co/image/ab67616d0000b273a407867b5c9f81b349e3312c
6F5c58TMEs1byxUstkzVeM,Roar,https://open.spotify.com/track/6F5c58TMEs1byxUstkzVeM,,https://i.scdn.co/image/ab67616d0000b27347f930accd8ac01686401fa2
5tzbM8m70V977Ezpfk8IPS,Time After Time,https://open.spotify.com/track/5tzbM8m70V977Ezpfk8IPS,,https://i.scdn.co/image/ab67616d0000b27332c62ff86bb7deeafed2d423
6W21LNLz9Sw7sUSNWMSHRu,Freak On a Leash,https://open.spotify.com/track/6W21LNLz9Sw7sUSNWMSHRu,,https://i.scdn.co/image/ab67616d0000b27350d216aebaf98e8ac9947fd5
5YDP1MSGDD5k0pm7j5KjMM,Chulu Chululu,https://open.spotify.com/track/5YDP1MSGDD5k0pm7j5KjMM,,https://i.scdn.co/image/ab67616d0000b27336a0e97c79096a2bd520026e
6t1FIJlZWTQfIZhsGjaulM,Video Killed The Radio Star,https://open.spotify.com/track/6t1FIJlZWTQfIZhsGjaulM,,https://i.scdn.co/image/ab67616d0000b27370b6cfff0487d653a8c7ce01
1mVTTCmWniYZrjHwHRqWyw,Lay Down (Candles In The Rain) - Long Version,https://open.spotify.com/track/1mVTTCmWniYZrjHwHRqWyw,,https://i.scdn.co/image/ab67616d0000b2736585cbc734f525c1b91dc55b
1QV6tiMFM6fSOKOGLMHYYg,Poker Face,https://open.spotify.com/track/1QV6tiMFM6fSOKOGLMHYYg,,https://i.scdn.co/image/ab67616d0000b273e691217483df8798445c82e2
7K5u9x1qd2WyEkTN7ntm1A,Vegas Girl,https://open.spotify.com/track/7K5u9x1qd2WyEkTN7ntm1A,,https://i.scdn.co/image/ab67616d0000b2731dbee6afbd1db38172180328
41on8RwRh22IHcChAN2gm8,American Boy (feat. Kanye West),https://open.spotify.com/track/41on8RwRh22IHcChAN2gm8,,https://i.scdn.co/image/ab67616d0000b2735288f048b151164b4cbf9f50
4V9JDRqKjN8F2HWdlEDxvI,Harder To Breathe,https://open.spotify.com/track/4V9JDRqKjN8F2HWdlEDxvI,,https://i.scdn.co/image/ab67616d0000b27392f2d790c6a97b195f66d51e
7IhsLJMqdxoo7YAZjaSMru,Dead And Gone,https://open.spotify.com/track/7IhsLJMqdxoo7YAZjaSMru,,https://i.scdn.co/image/ab67616d0000b273b6d4478c6f91f1cb2d326c78
0t414ewhjcIiuPVF3QECz2,If,https://open.spotify.com/track/0t414ewhjcIiuPVF3QECz2,,https://i.scdn.co/image/ab67616d0000b273e63518d50aff63f57d2b8ead
2DJpq0JJbGiBuQ3S5TDpPD,Truth Hurts,https://open.spotify.com/track/2DJpq0JJbGiBuQ3S5TDpPD,,https://i.scdn.co/image/ab67616d0000b27368e9160f7c5496107c576157
4zCWUhwXEgXrUY2C0hBfl2,Be Mine!,https://open.spotify.com/track/4zCWUhwXEgXrUY2C0hBfl2,,https://i.scdn.co/image/ab67616d0000b2732757897b2cb4ae27c24f260e
6ZyNjT2hYvfV5PuW84dp1E,1 Thing,https://open.spotify.com/track/6ZyNjT2hYvfV5PuW84dp1E,,https://i.scdn.co/image/ab67616d0000b27393a57795b11381004fc81c8f
44x9GdJsYmbaYRBm8ROyfL,One Way Ticket,https://open.spotify.com/track/44x9GdJsYmbaYRBm8ROyfL,,https://i.scdn.co/image/ab67616d0000b273545ea5786e54271e27cb7f7e
3YKQqwURGKQnxk9TKfq1gE,Two Faces Have I,https://open.spotify.com/track/3YKQqwURGKQnxk9TKfq1gE,,https://i.scdn.co/image/ab67616d0000b273b3e071c31c313540a2ccdcb9
0PhU6i6Kei6x0CH3jocvA3,Freedom,https://open.spotify.com/track/0PhU6i6Kei6x0CH3jocvA3,,https://i.scdn.co/image/ab67616d0000b273a2fc41b0dd6ce4f0d16a4c46
2NtqZmfRIDkXJ2YvY2Kv1F,Lido Shuffle,https://open.spotify.com/track/2NtqZmfRIDkXJ2YvY2Kv1F,,https://i.scdn.co/image/ab67616d0000b27394676ce6aa5288318b4ca52a
2DLkQzNRBgaAbCX4MscyTC,Slice of Heaven,https://open.spotify.com/track/2DLkQzNRBgaAbCX4MscyTC,,https://i.scdn.co/image/ab67616d0000b273e01d1e29118f48c4eafb6077
10pSiR20z5pY7a80uysJ3P,Stone,https://open.spotify.com/track/10pSiR20z5pY7a80uysJ3P,,https://i.scdn.co/image/ab67616d0000b2732a93bc89130a70a501dc83d5
1jeWrScZZuhw3b55T1fv4O,Tell Him (Duet with Barbra Streisand),https://open.spotify.com/track/1jeWrScZZuhw3b55T1fv4O,,https://i.scdn.co/image/ab67616d0000b273a626e7f7249adfbf2a839954
0uOKq55dztn2zNxpORp9F2,The Nips Are Getting Bigger,https://open.spotify.com/track/0uOKq55dztn2zNxpORp9F2,,https://i.scdn.co/image/ab67616d0000b27354b6fdc4237aac6a36984065
1XNvUrCop20hAWfROW1CoV,Dance Wiv Me - Radio Edit,https://open.spotify.com/track/1XNvUrCop20hAWfROW1CoV,,https://i.scdn.co/image/ab67616d0000b27324e63f84a2ab852d514549a0
0LzeivEHO16a8eBQGlpVkE,Love Shack - Edit; 2019 Remaster,https://open.spotify.com/track/0LzeivEHO16a8eBQGlpVkE,,https://i.scdn.co/image/ab67616d0000b273a26d957cb5eb9e27cef57217
5pZrTiyyerSGHUJExDCOxZ,Country Grammar (Hot Shit),https://open.spotify.com/track/5pZrTiyyerSGHUJExDCOxZ,,https://i.scdn.co/image/ab67616d0000b2733bb75f3881099847e140020b
2cGxRwrMyEAp8dEbuZaVv6,Instant Crush (feat. Julian Casablancas),https://open.spotify.com/track/2cGxRwrMyEAp8dEbuZaVv6,,https://i.scdn.co/image/ab67616d0000b2739b9b36b0e22870b9f542d937
1ezeinbhS1HhWzA8yQIzA7,Michelle,https://open.spotify.com/track/1ezeinbhS1HhWzA8yQIzA7,,https://i.scdn.co/image/ab67616d0000b2736695125f1e02be3808cf313f
56zrJ2upO5VssMnqowOZOH,Things That Make You Go Hmmm,https://open.spotify.com/track/56zrJ2upO5VssMnqowOZOH,,https://i.scdn.co/image/ab67616d0000b273d029ad5d1a40fabfae0ac7f3
2H9CKpZiLDF223BbwehpDF,Hush Hush; Hush Hush / I Will Survive - Medley,https://open.spotify.com/track/2H9CKpZiLDF223BbwehpDF,,https://i.scdn.co/image/ab67616d0000b273a8856c66d4453e3c7f8774df
1kj3ASwCuqDnzehRd3WIz3,Second Solution,https://open.spotify.com/track/1kj3ASwCuqDnzehRd3WIz3,,https://i.scdn.co/image/ab67616d0000b273049c676bbe6d94b46e4d9b6e
0SZIQOLgjT6awjwInBsSjV,You're The Best Thing,https://open.spotify.com/track/0SZIQOLgjT6awjwInBsSjV,,https://i.scdn.co/image/ab67616d0000b2739b0908b5b716dab57c2d0005
2QLEN3RVunMas7j0PHjeAT,C'mon N' Ride It (The Train),https://open.spotify.com/track/2QLEN3RVunMas7j0PHjeAT,,https://i.scdn.co/image/ab67616d0000b273f6eb72342d4ff41658c37193
4AGkYEPy8SPf0JADQNsw2q,Super Love,https://open.spotify.com/track/4AGkYEPy8SPf0JADQNsw2q,,https://i.scdn.co/image/ab67616d0000b2730138717dc69fa031dae80a4d
3c4OULLWwgRqBfA2dJtRuY,Love Is In The Air,https://open.spotify.com/track/3c4OULLWwgRqBfA2dJtRuY,,https://i.scdn.co/image/ab67616d0000b273c6cd995a8ad657da9a0c10f4
3tFECpGckFpp0HpQje78gi,Forever Young,https://open.spotify.com/track/3tFECpGckFpp0HpQje78gi,,https://i.scdn.co/image/ab67616d0000b273afe44166f2ba6223a0ed85b6
66xn6tB8s3l8uhj02OGneE,For You (Fifty Shades Freed) (& Rita Ora),https://open.spotify.com/track/66xn6tB8s3l8uhj02OGneE,,https://i.scdn.co/image/ab67616d0000b2736cd9798b6ace10ff98d1abdd
070QivFOnOdtVznpnrUMCO,Bad Habits,https://open.spotify.com/track/070QivFOnOdtVznpnrUMCO,,https://i.scdn.co/image/ab67616d0000b2735e5a4f7174a63752a5a578de
0a75KbBW12Hc8QtrD1gwAJ,I Wanna Do It with You,https://open.spotify.com/track/0a75KbBW12Hc8QtrD1gwAJ,,https://i.scdn.co/image/ab67616d0000b273c6cd995a8ad657da9a0c10f4
3RauEVgRgj1IuWdJ9fDs70,The Man,https://open.spotify.com/track/3RauEVgRgj1IuWdJ9fDs70,,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647
1ofagnzl7oj7z1MtwGesHX,Maria,https://open.spotify.com/track/1ofagnzl7oj7z1MtwGesHX,,https://i.scdn.co/image/ab67616d0000b273635a9b3b57f504a59361a36e
3iA4foXIFpekwHyma7pRs1,Overkill,https://open.spotify.com/track/3iA4foXIFpekwHyma7pRs1,,https://i.scdn.co/image/ab67616d0000b273d6484fa762c216ccb6b0dd45
