track_id,track_name,spotify_url,cover_image,lyrics,processing_time
32F14OcdAGM9jQm9XxR5qv,Last Thing on My Mind,https://open.spotify.com/track/32F14OcdAGM9jQm9XxR5qv,https://i.scdn.co/image/ab67616d0000b27359b651ccc94624a9f79c2793,Skipped for speed,1.920212745666504
7DJ0MFT63UDe5gzD7VFYJ6,When Will I Be Loved,https://open.spotify.com/track/7DJ0MFT63UDe5gzD7VFYJ6,https://i.scdn.co/image/ab67616d0000b273609aa1b335282c3e3ac4ac73,Skipped for speed,2.5800349712371826
2C3RaGRcUWBlgKoLzQvRDS,Miss Sarajevo,https://open.spotify.com/track/2C3RaGRcUWBlgKoLzQvRDS,https://i.scdn.co/image/ab67616d0000b273d0ecf203dca1ebd6979cc6d5,Skipped for speed,3.2758700847625732
1SWmFiFSIBoDbQJjNKC7SR,Against The Wind,https://open.spotify.com/track/1SWmFiFSIBoDbQJjNKC7SR,https://i.scdn.co/image/ab67616d0000b27399b37676fbae815424b4b1a4,Skipped for speed,1.9592969417572021
31UBcyZkwJRy2ZV5XpMlxh,Lady Bump,https://open.spotify.com/track/31UBcyZkwJRy2ZV5XpMlxh,https://i.scdn.co/image/ab67616d0000b273dee73bcf887b424fa43c5178,Skipped for speed,2.210116147994995
4anehmsEuhkXRjm6HAocaj,Jump In The Pool,https://open.spotify.com/track/4anehmsEuhkXRjm6HAocaj,https://i.scdn.co/image/ab67616d0000b273aaa41b6989ea856f87581b5b,Skipped for speed,2.5266730785369873
357A5woJFJjhOLjHbUr2AU,Help Yourself,https://open.spotify.com/track/357A5woJFJjhOLjHbUr2AU,https://i.scdn.co/image/ab67616d0000b273a9ad5616f5a390f411f2755b,Skipped for speed,2.6891751289367676
55lX3vm1G35mUpawXHK5Te,Every Heartbeat,https://open.spotify.com/track/55lX3vm1G35mUpawXHK5Te,https://i.scdn.co/image/ab67616d0000b2735092211df603ccb499ccfd5b,Skipped for speed,2.9007654190063477
0Wl42CUb1phIU9O2aR1wXI,Disarm,https://open.spotify.com/track/0Wl42CUb1phIU9O2aR1wXI,https://i.scdn.co/image/ab67616d0000b273c48f42fdafcffcedbdbce025,Skipped for speed,2.0591681003570557
2bS8qFEEsbBht032fzVPZ5,Sexy Love,https://open.spotify.com/track/2bS8qFEEsbBht032fzVPZ5,https://i.scdn.co/image/ab67616d0000b273efb7e3e7c4a83e1e58d3872a,Skipped for speed,3.067427635192871
4SOwSwa3vvq6B6Za84N5kh,You're the One,https://open.spotify.com/track/4SOwSwa3vvq6B6Za84N5kh,https://i.scdn.co/image/ab67616d0000b27338278814df17fea56a239072,Skipped for speed,2.945268154144287
3BliUWoxPngMNAQKCR8sRi,Have I Told You Lately,https://open.spotify.com/track/3BliUWoxPngMNAQKCR8sRi,https://i.scdn.co/image/ab67616d0000b2731ffa78122a610ad6f99ede35,Skipped for speed,2.9549930095672607
1ZvS1DmW1cF0oknYGCVNK7,Candle In The Wind,https://open.spotify.com/track/1ZvS1DmW1cF0oknYGCVNK7,https://i.scdn.co/image/ab67616d0000b273ecee84684fcb612c2fe12035,Skipped for speed,4.811363458633423
04FuQwYgBdeYxdnv6Ve9mK,I Knew I Loved You,https://open.spotify.com/track/04FuQwYgBdeYxdnv6Ve9mK,https://i.scdn.co/image/ab67616d0000b2735a7997b1322919a9d346fe9c,Skipped for speed,2.7278268337249756
5RC9olve1FVs1bnIneatm8,Free,https://open.spotify.com/track/5RC9olve1FVs1bnIneatm8,https://i.scdn.co/image/ab67616d0000b27304c1faeef7c47782df8d53d0,Skipped for speed,3.1043312549591064
2ctY9KP7zLgfmf1GnKxMBq,Feels So Right,https://open.spotify.com/track/2ctY9KP7zLgfmf1GnKxMBq,https://i.scdn.co/image/ab67616d0000b2734e7c18b4bff9ce6605358561,Skipped for speed,3.017059803009033
1orVKbp6vqtfAPOmvRofVq,Rock'n Me,https://open.spotify.com/track/1orVKbp6vqtfAPOmvRofVq,https://i.scdn.co/image/ab67616d0000b2732fc23e78e87d793054bba090,Skipped for speed,2.3780267238616943
5MhsZlmKJG6X5kTHkdwC4B,I'm an Albatraoz,https://open.spotify.com/track/5MhsZlmKJG6X5kTHkdwC4B,https://i.scdn.co/image/ab67616d0000b2734676cbf99a56d53dc494abfb,Skipped for speed,2.823984146118164
5wzEaFZ87acfJNVlIDoZE8,Victims,https://open.spotify.com/track/5wzEaFZ87acfJNVlIDoZE8,https://i.scdn.co/image/ab67616d0000b273784f3d22b1b28313311acd2a,Skipped for speed,3.0431642532348633
0FExfsU24F7hO8f1UOtApd,Love Letters,https://open.spotify.com/track/0FExfsU24F7hO8f1UOtApd,https://i.scdn.co/image/ab67616d0000b2732a0a7bf57031f91316bb840a,Skipped for speed,3.3062031269073486
7Kf8vPW2GYpnzdbtpl4bEz,This Ain't A Love Song,https://open.spotify.com/track/7Kf8vPW2GYpnzdbtpl4bEz,https://i.scdn.co/image/ab67616d0000b27309bacda399c5915867226b10,Skipped for speed,2.101133108139038
43qSGIUGX1Ox07xPJ9AT9o,Memphis Tennessee,https://open.spotify.com/track/43qSGIUGX1Ox07xPJ9AT9o,https://i.scdn.co/image/ab67616d0000b273251c954105aed4f75ad889eb,Skipped for speed,2.5693581104278564
